;gene
SEPTIN1;SEPTIN1
SEPTIN6;SEPTIN6
SEPTIN7;SEPTIN7
BORG4;BORG4
CDC42;CDC42
PER2;PER2
NUMB;NUMB
NOTCH1;NOTCH1
CD63;CD63
DNM1L;DNM1L
SEPTIN2;SEPTIN2
PML;PML
PPARGC1A;PPARGC1A
PPARG;PPARG
SIRT1;SIRT1
CD53;CD53
SELL;SELL
TFRC;TFRC
AP2A2;AP2A2
TEK;TEK
MYH2;MYH2
PROM1;PROM1
LAMP1;LAMP1
LAMP2;LAMP2
MAP1LC3B;MAP1LC3B
COX8A;COX8A
SLC2A1;SLC2A1
JAM3;JAM3
HK2;HK2
PINK1;PINK1
MTCH2;MTCH2
SIRT7;SIRT7
PTPMT1;PTPMT1
ATG12;ATG12
ATAD3A;ATAD3A
PRDM16;PRDM16
MFN2;MFN2
